STNAM,FIPST,LEAID,ST_LEAID,LEANM,ALL_COHORT_1617,ALL_RATE_1617,MAM_COHORT_1617,MAM_RATE_1617,MAS_COHORT_1617,MAS_RATE_1617,MBL_COHORT_1617,MBL_RATE_1617,MHI_COHORT_1617,MHI_RATE_1617,MTR_COHORT_1617,MTR_RATE_1617,MWH_COHORT_1617,MWH_RATE_1617,CWD_COHORT_1617,CWD_RATE_1617,ECD_COHORT_1617,ECD_RATE_1617,LEP_COHORT_1617,LEP_RATE_1617,DATE_CUR
ARIZONA,04,0402690,AZ-4243,Dysart Unified District,1797,92,15,GE50,43,GE90,155,85-89,623,92,,,898,92,165,75-79,745,89,8,LT50,17AUG18
ARIZONA,04,0402740,AZ-4435,Mary C O'Brien Accommodation District,56,20-29,2,PS,1,PS,1,PS,45,11-19,,,7,LT50,1,PS,,,1,PS,17AUG18
ARIZONA,04,0402860,AZ-4192,Flagstaff Unified District,729,87,181,85-89,8,GE50,6,GE50,193,85-89,,,323,88,102,75-79,258,80-84,5,PS,17AUG18
ARIZONA,04,0402920,AZ-4437,Florence Unified School District,767,86,15,GE50,23,GE80,65,85-89,252,90-94,,,395,83,91,70-74,331,83,7,GE50,17AUG18
ARIZONA,04,0403010,AZ-4405,Flowing Wells Unified District,430,87,10,GE50,12,GE50,10,GE50,109,70-74,,,282,90-94,44,70-79,256,85-89,4,PS,17AUG18
ARIZONA,04,0403040,AZ-4247,Fountain Hills Unified District,147,90-94,12,GE50,7,GE50,1,PS,12,GE50,,,111,GE95,12,GE50,18,60-79,,,17AUG18
ARIZONA,04,0403080,AZ-4195,Fredonia-Moccasin Unified District,20,GE80,4,PS,,,,,,,,,16,GE80,5,PS,11,GE50,,,17AUG18
ARIZONA,04,0403200,AZ-4221,Fort Thomas Unified District,40,70-79,38,70-79,1,PS,,,,,,,1,PS,7,GE50,,,,,17AUG18
ARIZONA,04,0403290,AZ-4157,Ganado Unified School District,146,80-84,139,85-89,,,,,1,PS,,,,,7,GE50,124,90-94,2,PS,17AUG18
ARIZONA,04,0403310,AZ-4238,Gila Bend Unified District,33,80-89,8,GE50,,,,,23,60-79,,,2,PS,7,GE50,28,GE80,2,PS,17AUG18
ARIZONA,04,0403400,AZ-4239,Gilbert Unified District,3053,91,24,GE80,158,GE95,133,80-84,559,86,,,2119,92,270,75-79,531,88,3,PS,17AUG18
ARIZONA,04,0403450,AZ-4285,Glendale Union High School District,3264,90,65,85-89,135,85-89,259,85-89,1744,92,,,1019,89,302,71,54,LE10,51,11-19,17AUG18
ARIZONA,04,0403500,AZ-4208,Globe Unified District,129,80-84,35,80-89,4,PS,,,42,70-79,,,47,70-79,17,60-79,61,90-94,1,PS,17AUG18
ARIZONA,04,0403550,AZ-4194,Grand Canyon Unified District,17,GE80,1,PS,,,,,8,GE50,,,8,GE50,3,PS,7,GE50,1,PS,17AUG18
ARIZONA,04,0403660,AZ-4371,Hackberry School District,5,PS,1,PS,,,,,1,PS,,,3,PS,2,PS,2,PS,,,17AUG18
ARIZONA,04,0403730,AZ-4212,Hayden-Winkelman Unified District,31,GE90,,,,,,,28,GE80,,,3,PS,5,PS,23,GE80,,,17AUG18
ARIZONA,04,0403780,AZ-4248,Higley Unified School District,807,94,4,PS,57,GE90,53,GE90,176,90-94,,,483,94,84,80-84,131,90-94,3,PS,17AUG18
ARIZONA,04,0403820,AZ-4389,Holbrook Unified District,154,80-84,109,75-79,,,1,PS,20,GE80,,,23,GE80,11,GE50,152,80-84,5,PS,17AUG18
ARIZONA,04,0403860,AZ-4234,Maricopa County Regional District,140,6-9,2,PS,1,PS,12,LT50,104,LE5,,,18,LE20,11,LT50,128,6-9,6,LT50,17AUG18
ARIZONA,04,0403870,AZ-4469,Humboldt Unified District,361,90,4,PS,5,PS,2,PS,121,90-94,,,217,85-89,48,70-79,149,85-89,1,PS,17AUG18
ARIZONA,04,0403950,AZ-4412,Baboquivari Unified School District #40,75,60-64,72,60-64,1,PS,,,2,PS,,,,,5,PS,1,PS,2,PS,17AUG18
ARIZONA,04,0403990,AZ-4445,J O Combs Unified School District,288,91,2,PS,6,GE50,11,GE50,96,85-89,,,169,90-94,31,70-79,99,90-94,1,PS,17AUG18
ARIZONA,04,0404010,AZ-4388,Joseph City Unified District,23,GE80,2,PS,,,,,,,,,20,GE80,4,PS,5,PS,,,17AUG18
ARIZONA,04,0404060,AZ-4396,Kayenta Unified School District # 27,177,85-89,172,85-89,,,,,1,PS,,,1,PS,18,60-79,154,90-94,8,GE50,17AUG18
ARIZONA,04,0404170,AZ-4480,Kirkland Elementary District,4,PS,1,PS,,,,,,,,,3,PS,,,1,PS,,,17AUG18
ARIZONA,04,0404280,AZ-4368,Lake Havasu Unified District,473,86,6,GE50,14,GE50,4,PS,101,90-94,,,347,86,53,60-69,157,85-89,4,PS,17AUG18
ARIZONA,04,0404410,AZ-4374,Littlefield Unified District,28,60-79,1,PS,,,,,14,GE50,,,12,GE50,2,PS,22,GE80,,,17AUG18
ARIZONA,04,0404530,AZ-4199,Maine Consolidated School District,5,PS,,,,,,,2,PS,,,3,PS,,,1,PS,,,17AUG18
ARIZONA,04,0404570,AZ-4439,Mammoth-San Manuel Unified District,68,85-89,,,,,,,51,80-89,,,17,GE80,10,GE50,51,GE90,,,17AUG18
ARIZONA,04,0404630,AZ-4404,Marana Unified District,967,87,13,GE50,17,60-79,30,GE80,335,88,,,542,87,101,70-74,324,82,5,PS,17AUG18
ARIZONA,04,0404720,AZ-4441,Maricopa Unified School District,461,76,13,GE50,14,GE50,65,65-69,224,75-79,,,130,80-84,41,50-59,244,75-79,5,PS,17AUG18
ARIZONA,04,0404770,AZ-4418,Altar Valley Elementary District,65,80-84,2,PS,1,PS,,,20,60-79,,,41,80-89,13,GE50,42,80-89,1,PS,17AUG18
ARIZONA,04,0404820,AZ-4473,Mayer Unified School District,45,60-69,2,PS,1,PS,,,2,PS,,,37,60-69,10,GE50,39,60-69,,,17AUG18
ARIZONA,04,0404860,AZ-4163,Mcnary Elementary District,9,GE50,8,GE50,,,,,,,,,,,,,7,GE50,,,17AUG18
ARIZONA,04,0404920,AZ-4181,McNeal Elementary District,5,PS,,,,,,,,,,,5,PS,1,PS,2,PS,,,17AUG18
ARIZONA,04,0404970,AZ-4235,Mesa Unified District,4513,75,178,60-64,126,75-79,195,70-74,1787,69,,,2182,82,460,57,2045,69,86,6-9,17AUG18
ARIZONA,04,0405030,AZ-4211,Miami Unified District,75,85-89,,,1,PS,1,PS,31,GE90,,,41,80-89,13,GE50,38,80-89,,,17AUG18
ARIZONA,04,0405070,AZ-4488,Mingus Union High School District,298,75-79,9,GE50,1,PS,4,PS,110,70-74,,,169,80-84,29,60-79,137,80-84,7,LT50,17AUG18
ARIZONA,04,0405320,AZ-4230,Morenci Unified District,87,85-89,,,1,PS,1,PS,69,85-89,,,16,GE80,13,GE50,23,GE80,,,17AUG18
ARIZONA,04,0405340,AZ-4251,Morristown Elementary District,13,GE50,,,,,,,2,PS,,,11,GE50,3,PS,5,PS,,,17AUG18
ARIZONA,04,0405360,AZ-4401,Pima Accommodation District,107,LE5,5,PS,1,PS,9,LT50,77,LE5,,,15,LT50,27,LE20,,,1,PS,17AUG18
ARIZONA,04,0405430,AZ-4176,Naco Elementary District,37,80-89,1,PS,,,,,35,80-89,,,,,2,PS,31,GE90,,,17AUG18
ARIZONA,04,0405460,AZ-4252,Nadaburg Unified School District,69,85-89,2,PS,,,,,27,GE80,,,39,GE90,3,PS,24,60-79,,,17AUG18
ARIZONA,04,0405500,AZ-4386,Navajo County Accommodation District #99,9,LT50,5,PS,,,,,2,PS,,,,,1,PS,3,PS,,,17AUG18
ARIZONA,04,0405530,AZ-4457,Nogales Unified District,395,90,,,1,PS,,,390,90,,,4,PS,12,GE50,1,PS,7,LT50,17AUG18
ARIZONA,04,0405640,AZ-4444,Oracle Elementary District,52,80-89,1,PS,1,PS,,,18,GE80,,,29,GE80,7,GE50,6,GE50,,,17AUG18
ARIZONA,04,0405730,AZ-4373,Owens School District No.6,1,PS,,,,,,,1,PS,,,,,,,,,,,17AUG18
ARIZONA,04,0405760,AZ-4215,Tonto Basin Elementary District,2,PS,,,,,,,,,,,2,PS,1,PS,2,PS,,,17AUG18
ARIZONA,04,0405820,AZ-4196,Page Unified District,201,77,147,70-74,2,PS,,,11,GE50,,,36,80-89,22,40-59,94,70-74,1,PS,17AUG18
ARIZONA,04,0405880,AZ-4180,Palominas Elementary District,94,90-94,,,4,PS,1,PS,33,GE90,,,48,GE90,12,GE50,28,GE80,,,17AUG18
ARIZONA,04,0405930,AZ-4241,Paradise Valley Unified District,2400,88,29,60-79,96,90-94,92,85-89,641,82,,,1449,92,191,70-74,516,86,26,LE20,17AUG18
ARIZONA,04,0405980,AZ-4510,Parker Unified School District,129,80-84,32,70-79,1,PS,,,58,80-89,,,33,70-79,9,GE50,59,GE90,3,PS,17AUG18
ARIZONA,04,0406030,AZ-4462,Patagonia Union High School District,17,GE80,,,,,,,9,GE50,,,8,GE50,1,PS,,,1,PS,17AUG18
ARIZONA,04,0406070,AZ-4209,Payson Unified District,222,73,4,PS,4,PS,,,43,70-79,,,167,75-79,32,50-59,78,65-69,1,PS,17AUG18
ARIZONA,04,0406120,AZ-4369,Peach Springs Unified District,9,LT50,8,LT50,,,,,1,PS,,,,,1,PS,5,PS,,,17AUG18
ARIZONA,04,0406250,AZ-4237,Peoria Unified School District,2990,96,27,GE80,105,GE95,145,GE95,911,95,,,1699,95,295,85-89,885,93,16,40-59,17AUG18
ARIZONA,04,0406330,AZ-4286,Phoenix Union High School District,5783,83,133,70-74,129,75-79,509,85,4658,84,,,271,75-79,529,69,5145,84,201,30-34,17AUG18
ARIZONA,04,0406440,AZ-4220,Pima Unified District,78,85-89,1,PS,1,PS,1,PS,24,60-79,,,50,GE90,11,GE50,29,GE80,,,17AUG18
ARIZONA,04,0406510,AZ-4214,Pine Strawberry Elementary District,10,GE50,,,1,PS,,,,,,,9,GE50,1,PS,4,PS,,,17AUG18
ARIZONA,04,0406580,AZ-4397,Blue Ridge Unified School District No. 32,178,80-84,31,70-79,4,PS,,,37,70-79,,,96,85-89,15,GE50,66,70-74,1,PS,17AUG18
ARIZONA,04,0406630,AZ-4188,Pomerene Elementary District,11,GE50,,,,,,,2,PS,,,9,GE50,3,PS,3,PS,,,17AUG18
ARIZONA,04,0406730,AZ-4466,Prescott Unified District,365,82,10,GE50,5,PS,4,PS,40,70-79,,,303,84,20,GE80,106,75-79,2,PS,17AUG18
ARIZONA,04,0406740,AZ-4156,Sanders Unified District,70,70-74,67,70-74,,,,,1,PS,,,,,10,GE50,5,PS,4,PS,17AUG18
ARIZONA,04,0406810,AZ-4245,Queen Creek Unified District,486,97,9,GE50,8,GE50,14,GE50,120,GE95,,,323,98,47,GE90,103,90-94,5,PS,17AUG18
ARIZONA,04,0406850,AZ-4438,Ray Unified District,31,GE90,,,,,,,13,GE50,,,18,GE80,1,PS,11,GE50,,,17AUG18
ARIZONA,04,0406870,AZ-4159,Red Mesa Unified District,59,70-79,58,70-79,,,,,,,,,1,PS,9,GE50,2,PS,1,PS,17AUG18
ARIZONA,04,0406960,AZ-4210,San Carlos Unified District,88,65-69,88,65-69,,,,,,,,,,,8,GE50,50,GE90,2,PS,17AUG18
ARIZONA,04,0407130,AZ-4155,Round Valley Unified District,129,80-84,8,GE50,2,PS,1,PS,25,60-79,,,92,85-89,12,GE50,43,GE90,2,PS,17AUG18
ARIZONA,04,0407170,AZ-4254,Saddle Mountain Unified School District,82,GE95,,,,,5,PS,43,GE90,,,32,GE90,7,GE50,18,GE80,1,PS,17AUG18
ARIZONA,04,0407240,AZ-4218,Safford Unified District,270,81,2,PS,,,4,PS,134,80-84,,,129,80-84,26,GE80,102,75-79,,,17AUG18
ARIZONA,04,0407300,AZ-4411,Sahuarita Unified District,457,88,5,PS,12,GE50,18,GE80,239,85-89,,,173,85-89,27,60-79,112,85-89,6,LT50,17AUG18
ARIZONA,04,0407430,AZ-4172,San Simon Unified District,10,GE50,,,,,,,6,GE50,,,4,PS,1,PS,7,GE50,1,PS,17AUG18
ARIZONA,04,0407500,AZ-4459,Santa Cruz Elementary District,18,GE80,,,,,,,18,GE80,,,,,1,PS,,,1,PS,17AUG18
ARIZONA,04,0407520,AZ-4458,Santa Cruz Valley Unified District,322,92,,,2,PS,,,306,92,,,14,GE50,24,GE80,199,GE95,10,LT50,17AUG18
ARIZONA,04,0407530,AZ-4454,Santa Cruz Valley Union High School District,101,70-74,1,PS,,,5,PS,89,70-74,,,5,PS,12,GE50,67,80-84,3,PS,17AUG18
ARIZONA,04,0407570,AZ-4240,Scottsdale Unified District,2056,91,42,80-89,129,90-94,85,90-94,372,88,,,1413,91,167,70-74,429,85,8,LT50,17AUG18
ARIZONA,04,0407630,AZ-4472,Seligman Unified District,11,GE50,2,PS,,,,,1,PS,,,7,LT50,2,PS,7,GE50,,,17AUG18
ARIZONA,04,0407700,AZ-4393,Show Low Unified District,233,78,7,GE50,1,PS,2,PS,30,60-79,,,185,75-79,33,60-69,95,65-69,,,17AUG18
ARIZONA,04,0407750,AZ-4246,Deer Valley Unified District,2499,94,17,GE80,109,GE95,83,85-89,468,95,,,1754,94,183,80-84,395,94,8,GE50,17AUG18
ARIZONA,04,0407770,AZ-4478,Skull Valley Elementary District,4,PS,,,,,,,2,PS,,,2,PS,,,2,PS,,,17AUG18
ARIZONA,04,0407820,AZ-4391,Snowflake Unified District,165,90-94,7,GE50,1,PS,,,15,GE50,,,138,GE95,15,GE50,70,90-94,,,17AUG18
ARIZONA,04,0407860,AZ-4222,Solomon Elementary District,21,GE80,,,,,,,14,GE50,,,7,GE50,3,PS,9,GE50,,,17AUG18
ARIZONA,04,0408020,AZ-4173,St David Unified District,38,GE90,,,,,,,2,PS,,,35,GE90,6,GE50,15,GE50,,,17AUG18
ARIZONA,04,0408080,AZ-4153,St Johns Unified District,78,85-89,10,GE50,,,,,11,GE50,,,53,80-89,10,GE50,,,1,PS,17AUG18
ARIZONA,04,0408170,AZ-4407,Sunnyside Unified District,955,76,29,40-59,10,GE50,21,60-79,846,78,,,44,70-79,107,60-64,647,80,24,21-39,17AUG18
ARIZONA,04,0408230,AZ-4440,Superior Unified School District,27,GE80,,,,,,,24,GE80,,,3,PS,6,GE50,21,GE80,,,17AUG18
ARIZONA,04,0408280,AZ-4408,Tanque Verde Unified District,139,90-94,,,2,PS,,,21,GE80,,,110,90-94,12,GE50,14,GE50,,,17AUG18
ARIZONA,04,0408340,AZ-4287,Tempe Union High School District,3310,89,130,75-79,202,GE95,352,86,1069,85,,,1388,93,200,70-74,,,28,21-39,17AUG18
ARIZONA,04,0408410,AZ-4219,Thatcher Unified District,118,GE95,,,,,,,20,GE80,,,98,GE95,9,GE50,17,GE80,,,17AUG18
ARIZONA,04,0408430,AZ-4255,Paloma School District,6,GE50,,,,,,,6,GE50,,,,,,,5,PS,1,PS,17AUG18
ARIZONA,04,0408520,AZ-4288,Tolleson Union High School District,2535,89,27,GE80,67,GE95,232,85-89,1929,89,,,241,85-89,237,80-84,1523,89,45,30-39,17AUG18
ARIZONA,04,0408600,AZ-4168,Tombstone Unified District,78,90-94,1,PS,1,PS,10,GE50,25,GE80,,,39,80-89,12,GE50,37,GE90,,,17AUG18
ARIZONA,04,0408680,AZ-4197,Tuba City Unified School District #15,167,75-79,166,75-79,1,PS,,,,,,,,,22,40-59,,,4,PS,17AUG18
ARIZONA,04,0408800,AZ-4403,Tucson Unified District,3043,85,73,75-79,98,85-89,178,80-84,1834,85,,,745,86,298,65-69,1256,85,73,35-39,17AUG18
ARIZONA,04,0408850,AZ-4413,Vail Unified District,910,92,3,PS,24,GE80,52,GE90,283,90-94,,,520,92,100,80-84,183,85-89,2,PS,17AUG18
ARIZONA,04,0408880,AZ-4380,Valentine Elementary District,3,PS,2,PS,,,,,,,,,1,PS,,,,,,,17AUG18
ARIZONA,04,0408910,AZ-4190,Valley Union High School District,28,GE80,2,PS,,,,,,,,,26,GE80,4,PS,18,GE80,1,PS,17AUG18
ARIZONA,04,0409160,AZ-4394,Whiteriver Unified District,181,55-59,178,55-59,,,,,,,,,1,PS,30,40-59,173,55-59,3,PS,17AUG18
ARIZONA,04,0409190,AZ-4236,Wickenburg Unified District,158,75-79,3,PS,,,,,49,80-89,,,104,75-79,15,GE50,52,80-89,,,17AUG18
ARIZONA,04,0409250,AZ-4170,Willcox Unified District,84,75-79,,,1,PS,,,58,70-79,,,25,GE80,5,PS,26,40-59,6,LT50,17AUG18
ARIZONA,04,0409310,AZ-4193,Williams Unified District,41,70-79,2,PS,,,,,13,GE50,,,25,60-79,1,PS,23,60-79,,,17AUG18
ARIZONA,04,0409360,AZ-4475,Williamson Valley Elementary School District,2,PS,,,,,,,,,,,2,PS,,,1,PS,,,17AUG18
ARIZONA,04,0409430,AZ-4154,Window Rock Unified District,150,65-69,150,65-69,,,,,,,,,,,15,GE50,,,1,PS,17AUG18
ARIZONA,04,0409460,AZ-4387,Winslow Unified District,190,85-89,113,85-89,2,PS,3,PS,32,GE90,,,38,GE90,29,GE80,,,2,PS,17AUG18
ARIZONA,04,0409510,AZ-4485,Yarnell Elementary District,3,PS,,,,,,,,,,,3,PS,,,1,PS,,,17AUG18
ARIZONA,04,0409540,AZ-4213,Young Elementary District,4,PS,,,,,,,,,,,4,PS,,,2,PS,,,17AUG18
ARIZONA,04,0409570,AZ-4377,Yucca Elementary District,3,PS,,,,,,,,,,,2,PS,,,2,PS,,,17AUG18
ARIZONA,04,0409630,AZ-4507,Yuma Union High School District,2593,91,24,60-79,27,GE80,37,70-79,2162,91,,,339,91,175,80-84,251,90-94,79,55-59,17AUG18
ARIZONA,04,0409733,AZ-4467,Sedona-Oak Creek JUSD #9,103,80-84,,,3,PS,,,36,70-79,,,55,80-89,14,GE50,26,GE80,1,PS,17AUG18
ARKANSAS,05,0500001,AR-0101000,DEWITT SCHOOL DISTRICT,101,80-84,,,,,19,60-79,6,GE50,2,PS,74,85-89,18,GE80,74,80-84,1,PS,17AUG18
ARKANSAS,05,0500006,AR-0602000,WARREN SCHOOL DISTRICT,102,90-94,,,,,39,GE90,15,GE50,1,PS,47,80-89,14,GE50,63,90-94,1,PS,17AUG18
ARKANSAS,05,0500009,AR-1101000,CORNING SCHOOL DISTRICT,63,GE95,,,,,,,4,PS,,,59,GE90,4,PS,43,GE90,,,17AUG18
ARKANSAS,05,0500012,AR-1613000,RIVERSIDE SCHOOL DISTRICT,60,GE90,,,,,,,1,PS,,,59,GE90,9,GE50,43,GE90,,,17AUG18
ARKANSAS,05,0500015,AR-2705000,SHERIDAN SCHOOL DISTRICT,309,89,1,PS,5,PS,14,GE50,8,GE50,,,281,85-89,38,80-89,157,80-84,7,GE50,17AUG18
ARKANSAS,05,0500016,AR-2803000,MARMADUKE SCHOOL DISTRICT,54,GE90,1,PS,,,,,1,PS,,,52,GE90,8,GE50,34,GE90,,,17AUG18
ARKANSAS,05,0500017,AR-2808000,PARAGOULD SCHOOL DISTRICT,183,GE95,1,PS,5,PS,11,GE50,11,GE50,9,GE50,146,GE95,16,GE80,126,90-94,8,GE50,17AUG18
ARKANSAS,05,0500019,AR-3201000,BATESVILLE SCHOOL DISTRICT,211,85-89,1,PS,1,PS,14,GE50,23,60-79,2,PS,170,85-89,24,GE80,116,80-84,11,GE50,17AUG18
ARKANSAS,05,0500020,AR-3211000,MIDLAND SCHOOL DISTRICT,30,GE80,,,,,,,1,PS,,,29,GE80,7,GE50,23,GE80,,,17AUG18
ARKANSAS,05,0500021,AR-3306000,IZARD CO. CONS. SCHOOL DIST.,31,GE90,1,PS,,,,,2,PS,,,28,GE80,3,PS,23,GE80,,,17AUG18
ARKANSAS,05,0500023,AR-3403000,NEWPORT SCHOOL DISTRICT,82,80-84,,,,,38,70-79,3,PS,,,41,GE90,9,GE50,60,80-89,1,PS,17AUG18
ARKANSAS,05,0500026,AR-3505000,PINE BLUFF SCHOOL DISTRICT,303,70,,,3,PS,288,70-74,3,PS,3,PS,6,GE50,32,60-69,295,70-74,2,PS,17AUG18
ARKANSAS,05,0500028,AR-4003000,STAR CITY SCHOOL DISTRICT,113,GE95,,,,,22,GE80,10,GE50,1,PS,80,GE95,10,GE50,72,90-94,2,PS,17AUG18
ARKANSAS,05,0500029,AR-4708000,GOSNELL SCHOOL DISTRICT,101,90-94,,,,,24,GE80,3,PS,2,PS,72,90-94,13,GE50,75,85-89,,,17AUG18
ARKANSAS,05,0500030,AR-5008000,NEVADA SCHOOL DISTRICT,30,GE80,,,,,14,GE50,,,,,16,GE80,3,PS,30,GE80,,,17AUG18
ARKANSAS,05,0500032,AR-5201000,BEARDEN SCHOOL DISTRICT,33,GE90,,,,,13,GE50,,,,,20,GE80,1,PS,26,GE80,,,17AUG18
ARKANSAS,05,0500035,AR-6091000,ARK. SCHOOL FOR THE BLIND,5,PS,,,,,1,PS,2,PS,,,2,PS,5,PS,4,PS,,,17AUG18
ARKANSAS,05,0500036,AR-6092000,ARK. SCHOOL FOR THE DEAF,8,GE50,,,1,PS,3,PS,,,1,PS,3,PS,8,GE50,5,PS,,,17AUG18
ARKANSAS,05,0500041,AR-7509000,WESTERN YELL CO. SCHOOL DIST.,30,GE80,,,3,PS,,,4,PS,1,PS,22,GE80,6,GE50,23,GE80,5,PS,17AUG18
ARKANSAS,05,0500042,AR-0203000,HAMBURG SCHOOL DISTRICT,138,90-94,,,,,33,GE90,16,GE80,,,89,90-94,12,GE50,86,90-94,9,GE50,17AUG18
ARKANSAS,05,0500043,AR-0303000,MOUNTAIN HOME SCHOOL DISTRICT,280,87,,,1,PS,2,PS,6,GE50,8,GE50,263,85-89,28,60-79,162,80-84,2,PS,17AUG18
ARKANSAS,05,0500044,AR-1402000,MAGNOLIA SCHOOL DISTRICT,207,85-89,,,3,PS,103,85-89,12,GE50,3,PS,86,85-89,19,GE80,144,85-89,7,GE50,17AUG18
ARKANSAS,05,0500045,AR-4706000,RIVERCREST SCHOOL DISTRICT #57,95,85-89,,,,,28,GE80,4,PS,,,63,80-84,9,GE50,80,80-84,2,PS,17AUG18
ARKANSAS,05,0500046,AR-4712000,MANILA SCHOOL DISTRICT,83,GE95,,,,,1,PS,7,GE50,,,75,GE95,9,GE50,59,GE90,,,17AUG18
ARKANSAS,05,0500047,AR-5605000,TRUMANN SCHOOL DISTRICT,99,75-79,,,,,15,GE50,4,PS,,,80,75-79,24,60-79,87,70-74,2,PS,17AUG18
ARKANSAS,05,0500048,AR-5608000,EAST POINSETT CO. SCHOOL DIST.,58,80-89,,,,,8,GE50,4,PS,2,PS,44,80-89,12,GE50,50,80-89,2,PS,17AUG18
ARKANSAS,05,0500049,AR-6701000,DEQUEEN SCHOOL DISTRICT,159,90-94,4,PS,3,PS,6,GE50,101,90-94,,,45,GE90,4,PS,127,90-94,60,GE90,17AUG18
ARKANSAS,05,0500051,AR-6205000,PALESTINE-WHEATLEY SCH. DIST.,64,90-94,,,1,PS,11,GE50,3,PS,,,49,GE90,9,GE50,64,90-94,,,17AUG18
ARKANSAS,05,0500055,AR-0440700,BENTON COUNTY SCHOOL OF ARTS,56,80-89,,,1,PS,4,PS,9,GE50,,,42,GE90,6,GE50,31,80-89,6,GE50,17AUG18
ARKANSAS,05,0500059,AR-6040700,ACADEMICS PLUS CHARTER SCHOOL,26,GE80,,,,,3,PS,1,PS,1,PS,21,GE80,3,PS,6,GE50,,,17AUG18
ARKANSAS,05,0500062,AR-5440700,KIPP DELTA PUBLIC SCHOOLS,50,80-89,,,,,49,80-89,1,PS,,,,,5,PS,50,80-89,,,17AUG18
ARKANSAS,05,0500065,AR-3704000,LAFAYETTE COUNTY SCHOOL DISTRICT,55,GE90,,,,,34,GE90,1,PS,,,20,GE80,3,PS,47,80-89,,,17AUG18
ARKANSAS,05,0500067,AR-1305000,CLEVELAND COUNTY SCHOOL DIST.,63,GE95,,,,,15,GE50,1,PS,1,PS,46,GE90,5,PS,37,GE90,1,PS,17AUG18
ARKANSAS,05,0500068,AR-1408000,EMERSON-TAYLOR SCHOOL DISTRICT,73,GE95,,,,,17,GE80,3,PS,1,PS,52,GE90,13,GE50,49,GE90,,,17AUG18
ARKANSAS,05,0500070,AR-3212000,CEDAR RIDGE SCHOOL DISTRICT,62,85-89,1,PS,3,PS,2,PS,1,PS,,,55,80-89,15,GE50,48,80-89,1,PS,17AUG18
ARKANSAS,05,0500071,AR-3809000,HILLCREST SCHOOL DISTRICT,30,GE80,,,,,,,,,,,30,GE80,5,PS,19,60-79,,,17AUG18
ARKANSAS,05,0500072,AR-5106000,DEER/MT. JUDEA SCHOOL DISTRICT,28,GE80,,,,,,,,,3,PS,25,GE80,2,PS,22,GE80,,,17AUG18
ARKANSAS,05,0500073,AR-5706000,OUACHITA RIVER SCHOOL DISTRICT,50,GE90,1,PS,1,PS,,,,,2,PS,46,GE90,8,GE50,42,GE90,,,17AUG18
ARKANSAS,05,0500074,AR-6041700,LISA ACADEMY CHARTER,90,GE95,,,14,GE50,34,GE90,12,GE50,1,PS,29,GE80,5,PS,44,GE90,2,PS,17AUG18
ARKANSAS,05,0500076,AR-6505000,OZARK MOUNTAIN SCHOOL DISTRICT,45,GE90,2,PS,,,,,5,PS,,,38,GE90,3,PS,32,GE90,1,PS,17AUG18
ARKANSAS,05,0500078,AR-7240700,HAAS HALL ACADEMY,59,GE90,,,4,PS,,,8,GE50,,,47,GE90,1,PS,1,PS,1,PS,17AUG18
ARKANSAS,05,0500079,AR-7510000,TWO RIVERS SCHOOL DISTRICT,69,75-79,,,,,,,6,GE50,1,PS,62,75-79,13,GE50,67,75-79,3,PS,17AUG18
ARKANSAS,05,0500082,AR-3810000,LAWRENCE COUNTY SCHOOL DISTRICT,80,85-89,,,,,1,PS,2,PS,2,PS,75,85-89,10,GE50,48,80-89,,,17AUG18
ARKANSAS,05,0500390,AR-6094000,ARKANSAS YOUTH SERVICES SCHOOL SYSTEM,68,30-34,,,,,36,30-39,2,PS,1,PS,29,21-39,19,21-39,61,25-29,,,17AUG18
ARKANSAS,05,0500394,AR-6043700,ARKANSAS VIRTUAL ACADEMY,58,70-79,,,1,PS,7,GE50,,,,,50,70-79,5,PS,39,70-79,,,17AUG18
ARKANSAS,05,0500398,AR-6047700,ESTEM HIGH CHARTER,109,GE95,,,3,PS,50,GE90,4,PS,4,PS,48,GE90,4,PS,42,GE90,1,PS,17AUG18
ARKANSAS,05,0500402,AR-6050700,JACKSONVILLE LIGHTHOUSE CHARTER,65,GE95,,,,,31,GE90,7,GE50,,,27,GE80,4,PS,43,GE90,4,PS,17AUG18
ARKANSAS,05,0500405,AR-5707000,COSSATOT RIVER SCHOOL DISTRICT,74,85-89,2,PS,3,PS,,,20,GE80,2,PS,47,GE90,12,GE50,74,85-89,12,GE50,17AUG18
ARKANSAS,05,0500407,AR-6052700,SIATECH LITTLE ROCK CHARTER,51,20-29,,,,,47,20-29,1,PS,,,3,PS,4,PS,43,20-29,,,17AUG18
ARKANSAS,05,0500408,AR-6053700,RESPONSIVE ED SOLUTIONS PREMIER HIGH SCHOOL OF LITTLE ROCK,38,50-59,,,,,31,50-59,1,PS,,,6,GE50,3,PS,27,40-59,,,17AUG18
ARKANSAS,05,0500416,AR-0443700,HAAS HALL BENTONVILLE,23,GE80,,,3,PS,1,PS,4,PS,2,PS,13,GE50,,,2,PS,1,PS,17AUG18
ARKANSAS,05,0500419,AR-6004000,JACKSONVILLE NORTH PULASKI SCHOOL DISTRICT,203,87,1,PS,5,PS,99,90-94,14,GE50,10,GE50,74,85-89,25,GE80,200,85-89,5,PS,17AUG18
